title,price,mileage,location,year,trim,state,distance,state_AK,state_AL,state_AR,state_AZ,state_CA,state_CO,state_CT,state_DE,state_FL,state_GA,state_HI,state_IA,state_ID,state_IL,state_IN,state_KS,state_KY,state_LA,state_MA,state_MD,state_MI,state_MN,state_MO,state_MT,state_NC,state_ND,state_NE,state_NH,state_NJ,state_NM,state_NV,state_NY,state_OH,state_OK,state_OR,state_PA,state_SC,state_SD,state_TN,state_TX,state_UT,state_VA,state_WA,state_WI,trim_S,trim_SE,trim_SEL,trim_SES,trim_ST,trim_ST Line,trim_Titanium
2019 Ford Fiesta SE,11135,61438,"Spring, TX (860 mi.)",2019,SE,TX,860,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2014 Ford Fiesta S,6487,169536,"Seekonk, MA (1,754 mi.)",2014,S,MA,1754,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2019 Ford Fiesta ST,13995,72078,"Cincinnati, OH (1,085 mi.)",2019,ST,OH,1085,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2019 Ford Fiesta SE,11998,35383,"Portage, WI (841 mi.)",2019,SE,WI,841,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2013 Ford Fiesta SE,6495,94708,"Paulding, OH (1,074 mi.)",2013,SE,OH,1074,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2016 Ford Fiesta Titanium,6110,122693,"DuBois, PA (1,375 mi.)",2016,Titanium,PA,1375,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2019 Ford Fiesta S,12995,65245,"Columbus, GA (1,220 mi.)",2019,S,GA,1220,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2019 Ford Fiesta SE,13695,84882,"Union City, GA (1,208 mi.)",2019,SE,GA,1208,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2014 Ford Fiesta Titanium,11990,66652,"Champaign, IL (885 mi.)",2014,Titanium,IL,885,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2016 Ford Fiesta S,11599,76564,"Memphis, TN (888 mi.)",2016,S,TN,888,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
2015 Ford Fiesta SE,9599,124829,"Springfield, MO (659 mi.)",2015,SE,MO,659,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2019 Ford Fiesta SE,13495,97710,"Ocala, FL (1,486 mi.)",2019,SE,FL,1486,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
