title,price,mileage,location
2016 Ford Fiesta Titanium,"$8,900","81,930 mi.","Kokomo, IN (995 mi.)"
2017 Ford Fiesta ST,"$8,500","121,936 mi.","Indianapolis, IN (1,004 mi.)"
2011 Ford Fiesta SEL,"$5,305","110,276 mi.","West Jordan, UT (373 mi.)"
2015 Ford Fiesta SE,"$9,938","87,105 mi.","Greenwood, IN (1,001 mi.)"
2015 Ford Fiesta ST,"$10,590","103,580 mi.","Plainfield, IN (984 mi.)"
2019 Ford Fiesta SE,"$12,599","55,083 mi.","Orlando, FL (1,555 mi.)"
2019 Ford Fiesta SE,"$11,995","84,803 mi.","Salt Lake City, UT (371 mi.)"
2015 Ford Fiesta ST,"$8,900","114,280 mi.","Butler, MO (585 mi.)"
2017 Ford Fiesta SE,"$6,593","95,073 mi.","Milford, NH (1,732 mi.)"
2015 Ford Fiesta SE,"$6,488","90,165 mi.","Sandy, UT (370 mi.)"
2015 Ford Fiesta S,"$5,500","116,074 mi.","Elkhart, IN (1,000 mi.)"
2015 Ford Fiesta SE,"$13,599","39,970 mi.","Midlothian, VA (1,479 mi.)"
2016 Ford Fiesta SE,"$11,998","57,870 mi.","Houston, TX (893 mi.)"
2017 Ford Fiesta Titanium,"$10,345","40,999 mi.","West Long Branch, NJ (1,630 mi.)"
2018 Ford Fiesta SE,"$10,999","39,689 mi.","Lodi, NJ (1,620 mi.)"
2016 Ford Fiesta SE,"$5,795","115,917 mi.","Crest Hill, IL (890 mi.)"
2017 Ford Fiesta ST,"$11,994","78,619 mi.","Fairfield, OH (1,087 mi.)"
2019 Ford Fiesta SE,"$10,244","68,550 mi.","Bellevue, NE (485 mi.)"
2019 Ford Fiesta SE,"$9,462","73,658 mi.","Hillsboro, OR (997 mi.)"
2017 Ford Fiesta S,"$6,995","82,573 mi.","Louisville, TN (1,175 mi.)"
2019 Ford Fiesta SE,"$14,998","34,449 mi.","Tinley Park, IL (908 mi.)"
2019 Ford Fiesta SE,"$14,898","31,532 mi.","Downers Grove, IL (896 mi.)"
2019 Ford Fiesta SE,"$11,998","67,545 mi.","Milwaukie, OR (976 mi.)"
2016 Ford Fiesta SE,"$10,599","67,934 mi.","Sanford, FL (1,540 mi.)"
2017 Ford Fiesta SE,"$12,998","24,815 mi.","Jacksonville, FL (1,473 mi.)"
2017 Ford Fiesta S,"$13,998","22,885 mi.","Hoover, AL (1,097 mi.)"
2019 Ford Fiesta SE,"$12,491","20,442 mi.","Spokane, WA (821 mi.)"
2018 Ford Fiesta S,"$9,995","21,000 mi.","Staunton, VA (1,389 mi.)"
2014 Ford Fiesta ST 4dr Hatchback,"$8,900","126,783 mi.","Storm Lake, IA (545 mi.)"
